"Time","Sensor SHT20"
2021-06-02 00:00:00,
2021-06-02 00:01:00,
2021-06-02 00:02:00,
2021-06-02 00:03:00,
2021-06-02 00:04:00,
2021-06-02 00:05:00,
2021-06-02 00:06:00,
2021-06-02 00:07:00,
2021-06-02 00:08:00,
2021-06-02 00:09:00,
2021-06-02 00:10:00,
2021-06-02 00:11:00,
2021-06-02 00:12:00,
2021-06-02 00:13:00,
2021-06-02 00:14:00,
2021-06-02 00:15:00,
2021-06-02 00:16:00,
2021-06-02 00:17:00,
2021-06-02 00:18:00,
2021-06-02 00:19:00,
2021-06-02 00:20:00,
2021-06-02 00:21:00,
2021-06-02 00:22:00,
2021-06-02 00:23:00,
2021-06-02 00:24:00,
2021-06-02 00:25:00,
2021-06-02 00:26:00,
2021-06-02 00:27:00,
2021-06-02 00:28:00,
2021-06-02 00:29:00,
2021-06-02 00:30:00,
2021-06-02 00:31:00,
2021-06-02 00:32:00,
2021-06-02 00:33:00,
2021-06-02 00:34:00,
2021-06-02 00:35:00,
2021-06-02 00:36:00,
2021-06-02 00:37:00,
2021-06-02 00:38:00,
2021-06-02 00:39:00,
2021-06-02 00:40:00,
2021-06-02 00:41:00,
2021-06-02 00:42:00,
2021-06-02 00:43:00,
2021-06-02 00:44:00,
2021-06-02 00:45:00,
2021-06-02 00:46:00,
2021-06-02 00:47:00,
2021-06-02 00:48:00,
2021-06-02 00:49:00,
2021-06-02 00:50:00,
2021-06-02 00:51:00,
2021-06-02 00:52:00,
2021-06-02 00:53:00,
2021-06-02 00:54:00,
2021-06-02 00:55:00,
2021-06-02 00:56:00,
2021-06-02 00:57:00,
2021-06-02 00:58:00,
2021-06-02 00:59:00,
2021-06-02 01:00:00,
2021-06-02 01:01:00,
2021-06-02 01:02:00,
2021-06-02 01:03:00,
2021-06-02 01:04:00,
2021-06-02 01:05:00,
2021-06-02 01:06:00,
2021-06-02 01:07:00,
2021-06-02 01:08:00,
2021-06-02 01:09:00,
2021-06-02 01:10:00,
2021-06-02 01:11:00,
2021-06-02 01:12:00,
2021-06-02 01:13:00,84.83
2021-06-02 01:14:00,84.83
2021-06-02 01:15:00,84.92
2021-06-02 01:16:00,84.87
2021-06-02 01:17:00,84.94
2021-06-02 01:18:00,85.01
2021-06-02 01:19:00,84.9
2021-06-02 01:20:00,84.8
2021-06-02 01:21:00,84.77
2021-06-02 01:22:00,84.755
2021-06-02 01:23:00,84.72
2021-06-02 01:24:00,84.77
2021-06-02 01:25:00,84.72
2021-06-02 01:26:00,84.85
2021-06-02 01:27:00,84.81
2021-06-02 01:28:00,84.84
2021-06-02 01:29:00,84.87
2021-06-02 01:30:00,84.89
2021-06-02 01:31:00,84.92
2021-06-02 01:32:00,85.05
2021-06-02 01:33:00,85.1
2021-06-02 01:34:00,85.1
2021-06-02 01:35:00,85.1
2021-06-02 01:36:00,85.07
2021-06-02 01:37:00,85.05
2021-06-02 01:38:00,85.05
2021-06-02 01:39:00,85
2021-06-02 01:40:00,85.06
2021-06-02 01:41:00,85.1
2021-06-02 01:42:00,85.05
2021-06-02 01:43:00,85.05
2021-06-02 01:44:00,85
2021-06-02 01:45:00,84.94
2021-06-02 01:46:00,85
2021-06-02 01:47:00,85
2021-06-02 01:48:00,85.03
2021-06-02 01:49:00,85.06
2021-06-02 01:50:00,85.06
2021-06-02 01:51:00,84.98
2021-06-02 01:52:00,84.95
2021-06-02 01:53:00,84.95
2021-06-02 01:54:00,84.98
2021-06-02 01:55:00,84.9
2021-06-02 01:56:00,84.82
2021-06-02 01:57:00,84.77
2021-06-02 01:58:00,84.8
2021-06-02 01:59:00,84.82
2021-06-02 02:00:00,84.8
2021-06-02 02:01:00,84.87
2021-06-02 02:02:00,84.85
2021-06-02 02:03:00,84.85
2021-06-02 02:04:00,84.95
2021-06-02 02:05:00,85.03
2021-06-02 02:06:00,85.11
2021-06-02 02:07:00,85.11
2021-06-02 02:08:00,85.16
2021-06-02 02:09:00,85.17
2021-06-02 02:10:00,85.22
2021-06-02 02:11:00,85.33
2021-06-02 02:12:00,85.43
2021-06-02 02:13:00,85.57
2021-06-02 02:14:00,85.7
2021-06-02 02:15:00,85.745
2021-06-02 02:16:00,85.75
2021-06-02 02:17:00,85.75
2021-06-02 02:18:00,85.67
2021-06-02 02:19:00,85.77
2021-06-02 02:20:00,85.8
2021-06-02 02:21:00,85.83
2021-06-02 02:22:00,85.8
2021-06-02 02:23:00,85.77
2021-06-02 02:24:00,85.72
2021-06-02 02:25:00,85.8
2021-06-02 02:26:00,85.83
2021-06-02 02:27:00,85.88
2021-06-02 02:28:00,85.93
2021-06-02 02:29:00,85.99
2021-06-02 02:30:00,86.03
2021-06-02 02:31:00,86.03
2021-06-02 02:32:00,86.02
2021-06-02 02:33:00,86.14
2021-06-02 02:34:00,86.41
2021-06-02 02:35:00,86.38
2021-06-02 02:36:00,86.51
2021-06-02 02:37:00,86.62
2021-06-02 02:38:00,86.73
2021-06-02 02:39:00,86.78
2021-06-02 02:40:00,86.75
2021-06-02 02:41:00,86.75
2021-06-02 02:42:00,86.8
2021-06-02 02:43:00,86.81
2021-06-02 02:44:00,86.81
2021-06-02 02:45:00,86.97
2021-06-02 02:46:00,87.08
2021-06-02 02:47:00,87.21
2021-06-02 02:48:00,87.32
2021-06-02 02:49:00,87.4
2021-06-02 02:50:00,87.51
2021-06-02 02:51:00,87.565
2021-06-02 02:52:00,87.61
2021-06-02 02:53:00,87.53
2021-06-02 02:54:00,87.58
2021-06-02 02:55:00,87.77
2021-06-02 02:56:00,87.97
2021-06-02 02:57:00,88.03
2021-06-02 02:58:00,88.16
2021-06-02 02:59:00,88.22
2021-06-02 03:00:00,88.25
2021-06-02 03:01:00,88.3
2021-06-02 03:02:00,88.3
2021-06-02 03:03:00,88.45
2021-06-02 03:04:00,88.45
2021-06-02 03:05:00,88.48
2021-06-02 03:06:00,88.48
2021-06-02 03:07:00,88.48
2021-06-02 03:08:00,88.51
2021-06-02 03:09:00,88.61
2021-06-02 03:10:00,88.66
2021-06-02 03:11:00,88.58
2021-06-02 03:12:00,88.49
2021-06-02 03:13:00,88.54
2021-06-02 03:14:00,88.54
2021-06-02 03:15:00,88.59
2021-06-02 03:16:00,88.75
2021-06-02 03:17:00,88.93
2021-06-02 03:18:00,88.88
2021-06-02 03:19:00,88.77
2021-06-02 03:20:00,88.72
2021-06-02 03:21:00,88.83
2021-06-02 03:22:00,88.9
2021-06-02 03:23:00,88.96
2021-06-02 03:24:00,88.99
2021-06-02 03:25:00,89.05
2021-06-02 03:26:00,89.12
2021-06-02 03:27:00,89.255
2021-06-02 03:28:00,89.38
2021-06-02 03:29:00,89.39
2021-06-02 03:30:00,89.44
2021-06-02 03:31:00,89.52
2021-06-02 03:32:00,89.6
2021-06-02 03:33:00,89.65
2021-06-02 03:34:00,89.73
2021-06-02 03:35:00,89.83
2021-06-02 03:36:00,89.91
2021-06-02 03:37:00,89.99
2021-06-02 03:38:00,90.02
2021-06-02 03:39:00,90.09
2021-06-02 03:40:00,90.09
2021-06-02 03:41:00,90.12
2021-06-02 03:42:00,90.12
2021-06-02 03:43:00,90.12
2021-06-02 03:44:00,90.22
2021-06-02 03:45:00,90.265
2021-06-02 03:46:00,90.18
2021-06-02 03:47:00,90.02
2021-06-02 03:48:00,89.94
2021-06-02 03:49:00,89.86
2021-06-02 03:50:00,89.96
2021-06-02 03:51:00,90.12
2021-06-02 03:52:00,90.02
2021-06-02 03:53:00,89.94
2021-06-02 03:54:00,89.91
2021-06-02 03:55:00,89.81
2021-06-02 03:56:00,89.67
2021-06-02 03:57:00,89.63
2021-06-02 03:58:00,89.7
2021-06-02 03:59:00,89.55
2021-06-02 04:00:00,89.5
2021-06-02 04:01:00,89.5
2021-06-02 04:02:00,89.55
2021-06-02 04:03:00,89.52
2021-06-02 04:04:00,89.5
2021-06-02 04:05:00,89.52
2021-06-02 04:06:00,89.51
2021-06-02 04:07:00,89.44
2021-06-02 04:08:00,89.33
2021-06-02 04:09:00,89.28
2021-06-02 04:10:00,89.23
2021-06-02 04:11:00,89.2
2021-06-02 04:12:00,89.12
2021-06-02 04:13:00,89.07
2021-06-02 04:14:00,89.02
2021-06-02 04:15:00,88.94
2021-06-02 04:16:00,88.94
2021-06-02 04:17:00,88.94
2021-06-02 04:18:00,88.89
2021-06-02 04:19:00,88.91
2021-06-02 04:20:00,88.94999999999999
2021-06-02 04:21:00,89.02
2021-06-02 04:22:00,89.05
2021-06-02 04:23:00,88.99
2021-06-02 04:24:00,89.02
2021-06-02 04:25:00,88.96
2021-06-02 04:26:00,89.07
2021-06-02 04:27:00,89.1
2021-06-02 04:28:00,89.1
2021-06-02 04:29:00,89.21
2021-06-02 04:30:00,89.26
2021-06-02 04:31:00,89.28
2021-06-02 04:32:00,89.28
2021-06-02 04:33:00,89.36
2021-06-02 04:34:00,89.44
2021-06-02 04:35:00,89.47
2021-06-02 04:36:00,89.47
2021-06-02 04:37:00,89.5
2021-06-02 04:38:00,89.525
2021-06-02 04:39:00,89.63
