"Time","Sensor SHT20","Sensor BMP280"
2021-07-27 15:30:00,,
2021-07-27 15:31:00,,
2021-07-27 15:32:00,,
2021-07-27 15:33:00,,
2021-07-27 15:34:00,,
2021-07-27 15:35:00,,
2021-07-27 15:36:00,,
2021-07-27 15:37:00,,
2021-07-27 15:38:00,,
2021-07-27 15:39:00,,
2021-07-27 15:40:00,,
2021-07-27 15:41:00,,
2021-07-27 15:42:00,,
2021-07-27 15:43:00,,
2021-07-27 15:44:00,,
2021-07-27 15:45:00,,
2021-07-27 15:46:00,,
2021-07-27 15:47:00,,
2021-07-27 15:48:00,,
2021-07-27 15:49:00,,
2021-07-27 15:50:00,,
2021-07-27 15:51:00,,
2021-07-27 15:52:00,,
2021-07-27 15:53:00,,
2021-07-27 15:54:00,,
2021-07-27 15:55:00,,
2021-07-27 15:56:00,,
2021-07-27 15:57:00,,
2021-07-27 15:58:00,,
2021-07-27 15:59:00,,
2021-07-27 16:00:00,,
2021-07-27 16:01:00,,
2021-07-27 16:02:00,,
2021-07-27 16:03:00,14.98,25.61
2021-07-27 16:04:00,14.94,24.9
2021-07-27 16:05:00,14.89,24.47
2021-07-27 16:06:00,14.95,24.07
2021-07-27 16:07:00,14.94,23.72
2021-07-27 16:08:00,14.95,23.5
2021-07-27 16:09:00,14.97,23.32
2021-07-27 16:10:00,14.95,23.13
2021-07-27 16:11:00,14.92,22.88
2021-07-27 16:12:00,14.87,22.57
2021-07-27 16:13:00,14.85,22.31
2021-07-27 16:14:00,14.83,22.02
2021-07-27 16:15:00,14.86,21.73
2021-07-27 16:16:00,14.95,21.57
2021-07-27 16:17:00,14.96,21.45
2021-07-27 16:18:00,14.95,21.36
2021-07-27 16:19:00,14.95,21.4
2021-07-27 16:20:00,14.85,21.37
2021-07-27 16:21:00,14.86,21.23
2021-07-27 16:22:00,14.84,21.23
2021-07-27 16:23:00,14.82,21.24
2021-07-27 16:24:00,14.74,21.18
2021-07-27 16:25:00,14.78,21.18
2021-07-27 16:26:00,14.8,21.25
2021-07-27 16:27:00,14.85,21.35
2021-07-27 16:28:00,14.8,21.55
2021-07-27 16:29:00,14.7,21.65
2021-07-27 16:30:00,14.67,21.56
2021-07-27 16:31:00,14.64,21.46
2021-07-27 16:32:00,14.65,21.36
2021-07-27 16:33:00,14.74,21.64
2021-07-27 16:34:00,14.88,22.45
2021-07-27 16:35:00,14.95,23.33
2021-07-27 16:36:00,14.96,24.42
2021-07-27 16:37:00,15.14,25.58
2021-07-27 16:38:00,15.36,26.72
2021-07-27 16:39:00,15.57,28.595
2021-07-27 16:40:00,15.7,30.12
2021-07-27 16:41:00,15.74,30.88
2021-07-27 16:42:00,15.7,31.34
2021-07-27 16:43:00,15.57,31.31
2021-07-27 16:44:00,15.57,31.28
2021-07-27 16:45:00,15.72,31.37
2021-07-27 16:46:00,15.78,31.54
2021-07-27 16:47:00,15.62,31.53
2021-07-27 16:48:00,15.67,31.48
2021-07-27 16:49:00,15.89,31.73
2021-07-27 16:50:00,15.87,32.24
2021-07-27 16:51:00,15.75,32.32
2021-07-27 16:52:00,15.6,32.29
2021-07-27 16:53:00,15.74,32.36
2021-07-27 16:54:00,15.78,32.5
2021-07-27 16:55:00,15.68,32.56
2021-07-27 16:56:00,15.66,32.51
2021-07-27 16:57:00,15.835,32.7
2021-07-27 16:58:00,15.71,32.84
2021-07-27 16:59:00,15.83,32.86
2021-07-27 17:00:00,15.99,33.05
2021-07-27 17:01:00,16.12,33.44
2021-07-27 17:02:00,16.04,33.72
2021-07-27 17:03:00,16.04,33.86
2021-07-27 17:04:00,16.05,33.99
2021-07-27 17:05:00,16.12,33.8
2021-07-27 17:06:00,16.15,33.81
2021-07-27 17:07:00,15.98,33.71
2021-07-27 17:08:00,16.03,33.35
2021-07-27 17:09:00,16.29,33.55
2021-07-27 17:10:00,16.36,33.91
2021-07-27 17:11:00,16.56,34.25
2021-07-27 17:12:00,16.82,34.74
2021-07-27 17:13:00,16.98,35.08
2021-07-27 17:14:00,16.9,35.04
2021-07-27 17:15:00,16.725,33.754999999999995
2021-07-27 17:16:00,16.73,32.93
2021-07-27 17:17:00,16.74,32.95
2021-07-27 17:18:00,16.87,33.18
2021-07-27 17:19:00,17,33.55
2021-07-27 17:20:00,16.93,33.69
2021-07-27 17:21:00,16.76,33.08
2021-07-27 17:22:00,16.6,32.05
2021-07-27 17:23:00,16.36,30.99
2021-07-27 17:24:00,16.15,29.77
