20210729020901,18.58,100539.58,18.43,45.38,snr,snr,snr,snr,snr
20210729021458,18.80,100541.45,18.51,45.57,NW,0.00,0.00,439,397
20210729021555,18.72,100546.48,18.51,45.57,NW,0.00,0.00,336,908
20210729021700,18.68,100551.66,18.50,45.67,NW,0.00,0.00,235,966
20210729021800,18.68,100552.24,18.50,45.64,NW,0.00,0.00,151,415
20210729021853,18.66,100551.66,18.49,45.80,NW,0.00,0.00,884,997
20210729021946,18.66,100556.12,18.50,45.80,NW,0.00,0.00,270,893
20210729022041,18.63,100558.23,18.50,45.70,NW,0.00,0.00,84,690
20210729022140,18.58,100559.26,18.49,45.67,NW,0.00,0.00,269,947
20210729022251,18.53,100560.69,18.47,45.77,NW,0.00,0.00,932,187
20210729022342,18.51,100560.86,18.46,45.71,NW,0.00,0.00,803,893
20210729022433,18.45,100560.14,18.43,45.45,NW,0.00,0.00,536,924
20210729022536,18.40,100559.92,18.41,45.32,NW,0.00,0.00,908,247
20210729022636,18.38,100558.63,18.38,45.19,NW,0.00,0.00,snr,snr
20210729022733,18.39,100556.66,18.37,45.35,NW,0.00,0.00,snr,snr
20210729022832,18.42,100554.92,18.37,45.48,NW,0.00,0.00,936,608
20210729222200,18.24,100314.98,17.43,45.75,NW,0.00,0.00,snr,snr
20210729223051,17.64,100317.61,17.50,46.29,NW,0.00,0.00,snr,snr
20210729223149,17.70,100315.11,17.50,45.90,NW,0.00,0.00,snr,snr
20210729223247,17.65,100314.88,17.51,46.19,NW,0.00,0.00,snr,snr
20210729223338,17.65,100316.53,17.50,46.38,NW,0.00,0.00,snr,snr
20210729223436,17.66,100316.30,17.51,46.61,NW,0.00,0.00,snr,snr
20210729223534,17.64,100316.98,17.51,46.64,NW,0.00,0.00,snr,snr
20210729223623,17.64,100319.48,17.50,46.32,NW,0.00,0.00,781,254
20210729223725,17.62,100317.70,17.50,46.78,NW,0.00,0.00,84,690
20210729223840,17.64,100320.41,17.50,47.04,NW,0.00,0.00,269,947
20210729223938,17.68,100322.16,17.51,46.74,NW,0.00,0.00,159,410
20210729224030,17.63,100323.24,17.51,47.23,NW,0.00,0.00,594,78
20210729224125,17.68,100323.66,17.51,47.26,NW,0.00,0.00,224,440
20210729224224,17.70,100326.55,17.52,47.59,NW,0.00,0.00,786,253
20210729224321,17.71,100325.69,17.53,47.13,NW,0.00,0.00,1021,822
20210729224425,17.72,100324.59,17.54,47.04,NW,0.00,0.00,356,451
20210729224548,17.69,100326.63,17.55,47.79,NW,0.00,0.00,439,397
20210729224643,17.67,100324.80,17.54,47.62,NW,0.00,0.00,336,908
20210729224751,17.66,100326.47,17.53,47.30,NW,0.00,0.00,235,966
20210729224847,17.63,100326.36,17.52,47.52,NW,0.00,0.00,578,966
